Date,Merchant,Category,Amount
2024-06-15,Movie Theater,Entertainment,12.50
2024-06-17,DoorDash,Dining,21.99
2024-06-20,Campus Print Shop,Education,6.75
2024-06-22,DoorDash,Dining,24.99
2024-06-22,YouTube Premium,Subscriptions,11.99
2024-06-25,Summer Job,Income,450.00
2024-06-25,Summer Job Bonus,Income,200.00
2024-06-26,Amazon Prime,Subscriptions,14.99
2024-06-28,Roommate (Rent Share),Housing,350.00
2024-06-29,DoorDash,Dining,26.50
2024-06-30,Mobile Provider,Subscriptions,35.00
2024-07-01,Summer Scholarship,Income,400.00
2024-07-05,Beach Gear,Shopping,125.00
2024-07-08,Grocery Outlet,Groceries,48.75
2024-07-10,Coffee Shop,Dining,6.25
2024-07-12,Movie Theater,Entertainment,15.00
2024-07-15,Summer Job,Income,450.00
2024-07-18,Swim Lessons,Education,80.00
2024-07-20,Fast Food,Dining,12.50
2024-07-25,Grocery Outlet,Groceries,52.25
2024-07-28,Concert Ticket,Entertainment,45.00
2024-08-01,Summer Scholarship,Income,400.00
2024-08-05,Grocery Outlet,Groceries,45.50
2024-08-08,Back to School Supplies,Shopping,89.99
2024-08-10,Coffee Shop,Dining,5.75
2024-08-12,New Backpack,Shopping,65.00
2024-08-15,Summer Job,Income,450.00
2024-08-18,Textbooks,Education,145.50
2024-08-20,Fast Food,Dining,14.25
2024-08-25,Grocery Outlet,Groceries,41.75
2024-08-28,Movie Theater,Entertainment,13.50
2024-09-01,Academic Scholarship,Income,800.00
2024-09-03,University Bookstore,Shopping,156.75
2024-09-05,Campus Cafe,Dining,9.25
2024-09-07,City Transit,Transport,45.00
2024-09-08,Netflix,Subscriptions,15.99
2024-09-08,Spotify Premium,Subscriptions,9.99
2024-09-10,Grocery Outlet,Groceries,38.95
2024-09-12,DoorDash,Dining,25.75
2024-09-15,Student Union,Entertainment,16.50
2024-09-17,DoorDash,Dining,22.25
2024-09-20,Campus Library,Education,8.75
2024-09-22,DoorDash,Dining,26.99
2024-09-25,Part-time Job,Income,325.00
2024-09-26,Amazon Prime,Subscriptions,14.99
2024-09-28,Roommate (Rent Share),Housing,350.00
2024-09-29,DoorDash,Dining,21.75
2024-09-30,Mobile Provider,Subscriptions,35.00
2024-10-01,Research Grant,Income,300.00
2024-10-03,Lab Equipment,Education,45.00
2024-10-05,Campus Cafe,Dining,8.75
2024-10-08,Netflix,Subscriptions,15.99
2024-10-08,Spotify Premium,Subscriptions,9.99
2024-10-10,Grocery Outlet,Groceries,42.25
2024-10-12,DoorDash,Dining,28.50
2024-10-15,Study Group Pizza,Dining,24.99
2024-10-17,DoorDash,Dining,19.99
2024-10-20,Campus Print Shop,Education,12.50
2024-10-22,Halloween Costume,Shopping,35.00
2024-10-25,Part-time Job,Income,325.00
2024-10-26,Amazon Prime,Subscriptions,14.99
2024-10-28,Roommate (Rent Share),Housing,350.00
2024-10-29,DoorDash,Dining,23.25
2024-10-30,Mobile Provider,Subscriptions,35.00
2024-11-01,Academic Scholarship,Income,800.00
2024-11-05,Campus Cafe,Dining,9.50
2024-11-08,Netflix,Subscriptions,15.99
2024-11-08,Spotify Premium,Subscriptions,9.99
2024-11-10,Grocery Outlet,Groceries,48.75
2024-11-12,DoorDash,Dining,31.50
2024-11-15,Thanksgiving Break Travel,Transport,125.00
2024-11-17,DoorDash,Dining,25.99
2024-11-20,Campus Print Shop,Education,15.25
2024-11-22,Black Friday Shopping,Shopping,89.99
2024-11-25,Part-time Job,Income,325.00
2024-11-26,Amazon Prime,Subscriptions,14.99
2024-11-28,Roommate (Rent Share),Housing,350.00
2024-11-29,DoorDash,Dining,26.75
2024-11-30,Mobile Provider,Subscriptions,35.00
2024-12-01,Academic Scholarship,Income,800.00
2024-12-05,Campus Cafe,Dining,8.25
2024-12-08,Netflix,Subscriptions,15.99
2024-12-08,Spotify Premium,Subscriptions,9.99
2024-12-10,Grocery Outlet,Groceries,52.50
2024-12-12,DoorDash,Dining,29.99
2024-12-15,Holiday Shopping,Shopping,145.00
2024-12-17,DoorDash,Dining,24.50
2024-12-20,Campus Library,Education,6.99
2024-12-22,Winter Break Travel,Transport,180.00
2024-12-25,Part-time Job,Income,325.00
2024-12-26,Amazon Prime,Subscriptions,14.99
2024-12-28,Roommate (Rent Share),Housing,350.00
2024-12-29,DoorDash,Dining,27.25
2024-12-30,Mobile Provider,Subscriptions,35.00
