Date,Merchant,Category,Amount
2024-08-19,Campus Cafe,Dining,6.95
2024-08-20,Online Course,Education,79.99
2024-08-21,Grocery Outlet,Groceries,33.40
2024-08-23,DoorDash,Dining,18.50
2024-08-25,Part-time Job,Income,450.00
2024-08-25,Roommate (Rent Share),Housing,350.00
2024-08-26,HBO Max,Subscriptions,9.99
2024-08-27,Pharmacy,Healthcare,25.75
2024-08-28,Coffee Shop,Dining,4.75
2024-08-29,Online Shopping,Shopping,28.99
2024-08-30,Mobile Provider,Subscriptions,35.00
2024-08-31,DoorDash,Dining,26.99
2024-09-01,Part-time Job,Income,450.00
2024-09-01,Roommate (Rent Share),Housing,350.00
2024-09-02,Campus Cafe,Dining,7.50
2024-09-03,DoorDash,Dining,21.25
2024-09-04,Netflix,Subscriptions,15.99
2024-09-04,Spotify Premium,Subscriptions,9.99
2024-09-05,Grocery Outlet,Groceries,30.85
2024-09-07,City Transit,Transport,45.00
2024-09-09,DoorDash,Dining,23.75
2024-09-10,Amazon Prime,Subscriptions,14.99
2024-09-11,Campus Library,Education,9.25
2024-09-13,Fast Food Chain,Dining,15.25
2024-09-14,Thrift Store,Shopping,19.99
2024-09-15,Student Union,Entertainment,13.50
2024-09-16,DoorDash,Dining,20.50
2024-09-17,Mobile Provider,Subscriptions,35.00
2024-09-19,Campus Cafe,Dining,8.75
2024-09-20,Online Textbooks,Education,72.50
2024-09-21,Grocery Outlet,Groceries,32.15
2024-09-23,DoorDash,Dining,24.99
2024-09-25,Part-time Job,Income,450.00
2024-09-25,Roommate (Rent Share),Housing,350.00
2024-09-26,HBO Max,Subscriptions,9.99
2024-09-27,Pharmacy,Healthcare,22.45
2024-09-28,Coffee Shop,Dining,5.95
2024-09-29,Online Shopping,Shopping,41.99
2024-09-30,Mobile Provider,Subscriptions,35.00
2024-10-01,Part-time Job,Income,450.00
2024-10-01,Roommate (Rent Share),Housing,350.00
2024-10-02,Campus Cafe,Dining,7.25
2024-10-03,DoorDash,Dining,22.50
2024-10-04,Netflix,Subscriptions,15.99
2024-10-04,Spotify Premium,Subscriptions,9.99
2024-10-05,Grocery Outlet,Groceries,31.60
2024-10-07,City Transit,Transport,45.00
2024-10-09,DoorDash,Dining,19.25
2024-10-10,Amazon Prime,Subscriptions,14.99
2024-10-11,Campus Print Shop,Education,7.75
2024-10-13,Fast Food Chain,Dining,17.50
2024-10-14,Clothing Store,Shopping,52.75
2024-10-15,Movie Theater,Entertainment,15.50
2024-10-16,DoorDash,Dining,25.99
2024-10-17,Mobile Provider,Subscriptions,35.00
2024-10-19,Campus Cafe,Dining,6.50
2024-10-20,Online Course,Education,85.99
2024-10-21,Grocery Outlet,Groceries,34.90
2024-10-23,DoorDash,Dining,21.75
2024-10-25,Part-time Job,Income,450.00
2024-10-25,Roommate (Rent Share),Housing,350.00
2024-10-26,HBO Max,Subscriptions,9.99
2024-10-27,Pharmacy,Healthcare,26.85
2024-10-28,Coffee Shop,Dining,6.25
2024-10-29,Online Shopping,Shopping,36.99
2024-10-30,Mobile Provider,Subscriptions,35.00
2024-10-31,DoorDash,Dining,23.50
2024-11-01,Part-time Job,Income,450.00
2024-11-01,Roommate (Rent Share),Housing,350.00
2024-11-02,Campus Cafe,Dining,8.95
2024-11-03,DoorDash,Dining,24.25
2024-11-04,Netflix,Subscriptions,15.99
2024-11-04,Spotify Premium,Subscriptions,9.99
2024-11-05,Grocery Outlet,Groceries,33.25
2024-11-07,City Transit,Transport,45.00
2024-11-09,DoorDash,Dining,20.99
2024-11-10,Amazon Prime,Subscriptions,14.99
2024-11-11,Campus Library,Education,10.50
2024-11-13,Fast Food Chain,Dining,16.99
2024-11-14,Thrift Store,Shopping,24.99
2024-11-15,Student Union,Entertainment,14.75
2024-11-16,DoorDash,Dining,22.25
2024-11-17,Mobile Provider,Subscriptions,35.00
2024-11-19,Campus Cafe,Dining,7.75
2024-11-20,Online Textbooks,Education,69.99
2024-11-21,Grocery Outlet,Groceries,35.40
2024-11-23,DoorDash,Dining,26.75
2024-11-25,Part-time Job,Income,450.00
2024-11-25,Roommate (Rent Share),Housing,350.00
2024-11-26,HBO Max,Subscriptions,9.99
2024-11-27,Pharmacy,Healthcare,24.15
2024-11-28,Coffee Shop,Dining,5.75
2024-11-29,Online Shopping,Shopping,39.99
2024-11-30,Mobile Provider,Subscriptions,35.00
2024-12-01,Part-time Job,Income,450.00
2024-12-01,Roommate (Rent Share),Housing,350.00
2024-12-02,Campus Cafe,Dining,9.25
2024-12-03,DoorDash,Dining,25.99
2024-12-04,Netflix,Subscriptions,15.99
2024-12-04,Spotify Premium,Subscriptions,9.99
2024-12-05,Grocery Outlet,Groceries,36.85
2024-12-07,City Transit,Transport,45.00
2024-12-09,DoorDash,Dining,21.50
2024-12-10,Amazon Prime,Subscriptions,14.99
2024-12-11,Campus Print Shop,Education,8.25
2024-12-13,Fast Food Chain,Dining,18.25
2024-12-14,Clothing Store,Shopping,48.50
2024-12-15,Movie Theater,Entertainment,16.75
2024-12-16,DoorDash,Dining,27.25
2024-12-17,Mobile Provider,Subscriptions,35.00
2024-12-19,Campus Cafe,Dining,8.50
2024-12-20,Online Course,Education,92.99
2024-12-21,Grocery Outlet,Groceries,38.60
2024-12-23,DoorDash,Dining,23.99
2024-12-25,Part-time Job,Income,450.00
2024-12-25,Roommate (Rent Share),Housing,350.00
2024-12-26,HBO Max,Subscriptions,9.99
2024-12-27,Pharmacy,Healthcare,28.45
2024-12-28,Coffee Shop,Dining,6.95
2024-12-29,Online Shopping,Shopping,44.99
2024-12-30,Mobile Provider,Subscriptions,35.00
2024-12-31,DoorDash,Dining,29.50
