Date,Merchant,Category,Amount
2024-05-26,Disney+ Bundle,Subscriptions,13.99
2024-05-27,YouTube Premium,Subscriptions,11.99
2024-05-28,Gym Membership,Healthcare,75.00
2024-05-30,Investment Contribution,Income,500.00
2024-06-01,Monthly Salary,Income,4500.00
2024-06-05,Mortgage Company,Housing,1850.00
2024-06-03,Fine Dining Restaurant,Dining,225.75
2024-06-08,Electric Company,Utilities,115.25
2024-06-10,Water & Sewer,Utilities,78.50
2024-06-12,Internet Provider,Subscriptions,89.99
2024-06-13,Designer Sunglasses,Shopping,295.00
2024-06-15,Grocery Store,Groceries,242.75
2024-06-17,Upscale Bar,Entertainment,185.25
2024-06-18,Gas Station,Transport,69.50
2024-06-20,Restaurant,Dining,105.25
2024-06-22,Travel Booking,Entertainment,850.00
2024-06-23,Netflix Premium,Subscriptions,19.99
2024-06-24,HBO Max,Subscriptions,15.99
2024-06-25,Mobile Provider,Subscriptions,110.00
2024-06-26,Disney+ Bundle,Subscriptions,13.99
2024-06-27,Amazon Prime,Subscriptions,14.99
2024-06-28,Gym Membership,Healthcare,75.00
2024-06-30,Investment Contribution,Income,500.00
2024-06-30,Promotion Bonus,Income,3200.00
2024-07-01,Monthly Salary,Income,4800.00
2024-07-05,Mortgage Company,Housing,1850.00
2024-07-08,Electric Company,Utilities,122.50
2024-07-10,Water & Sewer,Utilities,78.50
2024-07-12,Internet Provider,Subscriptions,89.99
2024-07-15,Grocery Store,Groceries,265.25
2024-07-18,Gas Station,Transport,72.75
2024-07-20,Restaurant,Dining,125.50
2024-07-22,Summer Vacation,Entertainment,2200.00
2024-07-25,Mobile Provider,Subscriptions,110.00
2024-07-28,Gym Membership,Healthcare,75.00
2024-07-30,Investment Contribution,Income,600.00
2024-08-01,Monthly Salary,Income,4800.00
2024-08-05,Mortgage Company,Housing,1850.00
2024-08-08,Electric Company,Utilities,135.75
2024-08-10,Water & Sewer,Utilities,78.50
2024-08-12,Internet Provider,Subscriptions,89.99
2024-08-15,Grocery Store,Groceries,278.50
2024-08-18,Gas Station,Transport,68.25
2024-08-20,Restaurant,Dining,142.75
2024-08-22,Back to School Shopping,Shopping,350.00
2024-08-25,Mobile Provider,Subscriptions,110.00
2024-08-28,Gym Membership,Healthcare,75.00
2024-08-30,Investment Contribution,Income,600.00
2024-09-01,Monthly Salary,Income,4800.00
2024-09-05,Mortgage Company,Housing,1850.00
2024-09-08,Electric Company,Utilities,118.95
2024-09-10,Water & Sewer,Utilities,78.50
2024-09-12,Internet Provider,Subscriptions,89.99
2024-09-15,Grocery Store,Groceries,245.75
2024-09-18,Gas Station,Transport,71.50
2024-09-20,Restaurant,Dining,115.25
2024-09-22,Fall Wardrobe Update,Shopping,425.00
2024-09-25,Mobile Provider,Subscriptions,110.00
2024-09-28,Gym Membership,Healthcare,75.00
2024-09-30,Investment Contribution,Income,600.00
2024-10-01,Monthly Salary,Income,4800.00
2024-10-05,Mortgage Company,Housing,1850.00
2024-10-08,Electric Company,Utilities,98.75
2024-10-10,Water & Sewer,Utilities,78.50
2024-10-12,Internet Provider,Subscriptions,89.99
2024-10-15,Grocery Store,Groceries,235.25
2024-10-18,Gas Station,Transport,66.75
2024-10-20,Restaurant,Dining,98.50
2024-10-22,Halloween Decorations,Shopping,85.00
2024-10-25,Mobile Provider,Subscriptions,110.00
2024-10-28,Gym Membership,Healthcare,75.00
2024-10-30,Investment Contribution,Income,600.00
2024-11-01,Monthly Salary,Income,4800.00
2024-11-05,Mortgage Company,Housing,1850.00
2024-11-08,Electric Company,Utilities,112.25
2024-11-10,Water & Sewer,Utilities,78.50
2024-11-12,Internet Provider,Subscriptions,89.99
2024-11-15,Grocery Store,Groceries,285.75
2024-11-18,Gas Station,Transport,73.25
2024-11-20,Restaurant,Dining,165.50
2024-11-22,Thanksgiving Catering,Shopping,275.00
2024-11-25,Mobile Provider,Subscriptions,110.00
2024-11-28,Gym Membership,Healthcare,75.00
2024-11-30,Investment Contribution,Income,600.00
2024-12-01,Monthly Salary,Income,4800.00
2024-12-05,Mortgage Company,Housing,1850.00
2024-12-08,Electric Company,Utilities,125.50
2024-12-10,Water & Sewer,Utilities,78.50
2024-12-12,Internet Provider,Subscriptions,89.99
2024-12-15,Grocery Store,Groceries,325.25
2024-12-18,Gas Station,Transport,69.75
2024-12-20,Restaurant,Dining,185.50
2024-12-22,Holiday Gifts,Shopping,650.00
2024-12-25,Mobile Provider,Subscriptions,110.00
2024-12-28,Gym Membership,Healthcare,75.00
2024-12-30,Investment Contribution,Income,600.00
2024-12-31,Year-End Bonus,Income,3000.00
