Date,Merchant,Category,Amount
2024-05-08,Adobe Creative Cloud,Subscriptions,52.99
2024-05-09,Uber,Transport,19.25
2024-05-10,Local Cafe,Dining,16.50
2024-05-11,Uber,Transport,24.75
2024-05-12,Office Supply Store,Shopping,95.25
2024-05-14,Amazon Electronics,Shopping,189.99
2024-05-15,Grocery Store,Groceries,128.75
2024-05-16,Apple App Store,Subscriptions,9.99
2024-05-17,Uber,Transport,20.25
2024-05-18,Ride Share,Transport,44.25
2024-05-19,Uber,Transport,26.99
2024-05-20,Internet Provider,Subscriptions,75.00
2024-05-22,Uber,Transport,23.50
2024-05-25,Rent Payment,Housing,950.00
2024-05-26,Uber,Transport,21.99
2024-05-28,Health Insurance,Healthcare,325.00
2024-05-30,Mobile Provider,Subscriptions,85.00
2024-06-01,Monthly Freelance Income,Income,4500.00
2024-06-02,Client A Payment,Income,1250.00
2024-06-03,Uber,Transport,25.25
2024-06-06,Restaurant,Dining,48.75
2024-06-07,Uber,Transport,18.75
2024-06-10,Grocery Store,Groceries,135.50
2024-06-11,Uber,Transport,27.50
2024-06-12,Co-working Space,Housing,150.00
2024-06-14,Best Buy,Shopping,599.99
2024-06-15,Client E Payment,Income,3000.00
2024-06-15,Performance Bonus,Income,1000.00
2024-06-16,Apple App Store,Subscriptions,9.99
2024-06-17,Uber,Transport,22.99
2024-06-18,Ride Share,Transport,46.75
2024-06-19,Uber,Transport,24.50
2024-06-20,New Laptop,Shopping,1299.99
2024-06-23,Uber,Transport,19.75
2024-06-25,Rent Payment,Housing,950.00
2024-06-27,Uber,Transport,26.25
2024-06-28,Health Insurance,Healthcare,325.00
2024-06-30,Mobile Provider,Subscriptions,85.00
2024-07-01,Monthly Freelance Income,Income,4300.00
2024-07-05,Client F Payment,Income,2100.00
2024-07-08,Adobe Creative Cloud,Subscriptions,52.99
2024-07-10,Grocery Store,Groceries,145.25
2024-07-12,Software License,Shopping,299.99
2024-07-15,Client B Payment,Income,850.00
2024-07-18,Vacation Booking,Entertainment,1200.00
2024-07-20,Internet Provider,Subscriptions,75.00
2024-07-25,Rent Payment,Housing,950.00
2024-07-28,Health Insurance,Healthcare,325.00
2024-08-01,Monthly Freelance Income,Income,4700.00
2024-08-05,Client G Payment,Income,2800.00
2024-08-08,Adobe Creative Cloud,Subscriptions,52.99
2024-08-10,Grocery Store,Groceries,138.75
2024-08-12,Marketing Tools,Subscriptions,89.99
2024-08-15,Client C Payment,Income,1750.00
2024-08-20,Internet Provider,Subscriptions,75.00
2024-08-25,Rent Payment,Housing,950.00
2024-08-28,Health Insurance,Healthcare,325.00
2024-09-01,Monthly Freelance Income,Income,4400.00
2024-09-05,Client A Payment,Income,1250.00
2024-09-08,Adobe Creative Cloud,Subscriptions,52.99
2024-09-10,Grocery Store,Groceries,152.50
2024-09-12,Design Software,Shopping,199.99
2024-09-15,Client H Payment,Income,3200.00
2024-09-15,Major Project Bonus,Income,1500.00
2024-09-20,Internet Provider,Subscriptions,75.00
2024-09-25,Rent Payment,Housing,950.00
2024-09-28,Health Insurance,Healthcare,325.00
2024-10-01,Monthly Freelance Income,Income,4800.00
2024-10-05,Client I Payment,Income,1900.00
2024-10-08,Adobe Creative Cloud,Subscriptions,52.99
2024-10-10,Grocery Store,Groceries,142.25
2024-10-12,Professional Development,Education,299.99
2024-10-15,Client D Payment,Income,2250.00
2024-10-20,Internet Provider,Subscriptions,75.00
2024-10-25,Rent Payment,Housing,950.00
2024-10-28,Health Insurance,Healthcare,325.00
2024-11-01,Monthly Freelance Income,Income,4600.00
2024-11-05,Client J Payment,Income,2600.00
2024-11-08,Adobe Creative Cloud,Subscriptions,52.99
2024-11-10,Grocery Store,Groceries,158.75
2024-11-12,Hardware Upgrade,Shopping,499.99
2024-11-15,Client E Payment,Income,3000.00
2024-11-20,Internet Provider,Subscriptions,75.00
2024-11-25,Rent Payment,Housing,950.00
2024-11-28,Health Insurance,Healthcare,325.00
2024-12-01,Monthly Freelance Income,Income,5000.00
2024-12-05,Client K Payment,Income,3500.00
2024-12-05,Year-End Bonus,Income,2000.00
2024-12-08,Adobe Creative Cloud,Subscriptions,52.99
2024-12-10,Grocery Store,Groceries,175.50
2024-12-12,Holiday Shopping,Shopping,450.00
2024-12-15,Client F Payment,Income,2100.00
2024-12-20,Internet Provider,Subscriptions,75.00
2024-12-25,Rent Payment,Housing,950.00
2024-12-28,Health Insurance,Healthcare,325.00
